jobid,id,panoid,date,lat,lon,svf,tvf,bvf
2024-01-08-09-38-39-920057,36,4MZz4GzBzkFxwt6tFH90EQ,2023-04,45.48001213795499,9.234353455331027,0.57181532602,0.323759294472,0.0745700803513
2024-01-08-09-38-39-920057,15,5m61bQwgZP1aRYVHOYMLVQ,2022-08,45.4793606419556,9.2300016807746,0.61700190056,0.293994807291,0.067054925365
2024-01-08-09-38-39-920057,52,60eVA8JiWJH1J2LWt8LUKQ,2023-04,45.47976902776039,9.232959820920504,0.298049457117,0.562392630962,0.131903506795
2024-01-08-09-38-39-920057,53,8pPOxV5lrkRhkZQM9zbpJw,2018-05,45.47928895831577,9.23164757128045,0.456811200476,0.417624398341,0.111698771294
2024-01-08-09-38-39-920057,34,d1trudicPC_MgNvUYoegLg,2012-09,45.47901052010336,9.232094778921246,0.498605491389,0.360692027013,0.109782655407
2024-01-08-09-38-39-920057,14,FXeSd_ouWm3S8OGvN1oS3A,2023-04,45.48026796173716,9.229989492258166,0.303833844942,0.598175308526,0.0835427865642
2024-01-08-09-38-39-920057,37,i5ZLTo5uzZ5qjdqM2nNVDw,2012-09,45.47910822035815,9.233337561546936,0.622202615246,0.190595590006,0.167455338159
2024-01-08-09-38-39-920057,27,m_lbQafILO92bD-gTitR4w,2023-04,45.47913741407625,9.230013281527947,0.17478004157,0.778089723807,0.0264199469121
2024-01-08-09-38-39-920057,35,tIymuX7QFdPnxk3Dl74HWQ,2023-04,45.47942861832687,9.233194164697741,0.385303698192,0.146349741484,0.422082585435
2024-01-08-09-38-39-920057,51,x5nNspu8FUuJlIiPexhj4w,2023-04,45.48028403108989,9.234210451782335,0.581835242315,0.26572506747,0.115752789729
2024-01-08-09-38-39-920057,54,xbxdWbldZzhwr-SVaEo7sw,2023-04,45.47924260232375,9.230295775259655,0.280620456512,0.691144470139,0.0153235400927
2024-01-16-09-10-06-134930,112,dgu1G6_sZm-gV_DYFFCJrg,2023-04,45.47944219326389,9.234340715885619,0.695939812949,0.132550055278,0.141091224467
2024-01-16-09-10-06-134930,99,K-KaipAsJkZij5kGEe44vw,2023-04,45.4797265514683,9.234352847473538,0.55243028395,0.324817079897,0.0862350310435
2024-01-16-09-10-06-134930,337,UKi9i8DBN1csoYG4koL7rg,2020-09,45.47959080006911,9.232516625928309,0.415432088628,0.446478499855,0.114212146593
2024-01-16-09-10-06-134930,117,wblQ59tR5R5Aw2QGF4k-FA,2023-04,45.479802232782,9.229995579039649,0.344238276911,0.567082034877,0.0711239033459
2024-01-16-12-06-33-25316,29,-OTrVosJvGuZgkfUAdOSXg,2023-04,45.47940096683946,9.231361743637569,0.284173891745,0.464067439565,0.235306552135
2024-01-16-12-06-33-25316,20,-Q06Xh750SZEJXJacFsMsw,2023-04,45.48031250451275,9.234354153296366,0.564952359138,0.273004073104,0.138936338045
2024-01-16-12-06-33-25316,30,0E0gy6zIw2S5h3doZGaprA,2023-04,45.47939972196954,9.231080023348724,0.262146485046,0.485190402914,0.239546951892
2024-01-16-12-06-33-25316,2,0m9Nxp0w_o_s2JpILHrXTA,2023-04,45.47949308837779,9.23191829757063,0.151265615744,0.527158657462,0.308166508263
2024-01-16-12-06-33-25316,70,0RLvy6EGcpUx1bsPQMi8SQ,2023-04,45.48038177581317,9.230216701554921,0.446521183123,0.260084675893,0.275510629278
2024-01-16-12-06-33-25316,69,3KabTtUjHbXA06TbyQrh3g,2023-04,45.48047427479867,9.230452909936648,0.441961798456,0.0911557310786,0.458033689023
2024-01-16-12-06-33-25316,12,5q71BtRl9mwKGU4sriY30Q,2023-04,45.47934824710299,9.231927613288159,0.373623557296,0.4853406507,0.114813758682
2024-01-16-12-06-33-25316,32,6lmyghR3WVqkOlNnFkSsGQ,2023-04,45.47925011611313,9.231094465928745,0.208760098392,0.748925347848,0.0281668026814
2024-01-16-12-06-33-25316,41,7U_KSK_-1uoiILR1Ao7I3g,2023-04,45.47951839884038,9.229999313372074,0.28387727464,0.675093829396,0.0298698816109
2024-01-16-12-06-33-25316,36,8ctW4tG1pTMeectiu3CIPg,2023-04,45.47923963967578,9.229954876059017,0.476264373353,0.451945213399,0.0416105055946
2024-01-16-12-06-33-25316,44,9rmtSPBuS7NUU8g2TYG-ow,2023-04,45.48036830933779,9.2299845657635,0.339313598373,0.549113700089,0.105489260612
2024-01-16-12-06-33-25316,43,cuokuq3XNhNFyrcNyyf4OA,2023-04,45.48007996795567,9.229991996704975,0.220266038123,0.699484637822,0.0760887272882
2024-01-16-12-06-33-25316,31,dP6tyeCqkhL43xVpeYkNJQ,2023-04,45.47939778529801,9.230670323552134,0.243804637102,0.494770885271,0.229594187454
2024-01-16-12-06-33-25316,5,EKPpG2A29OHefdDFLlY1yQ,2023-04,45.48011930656512,9.233453987992595,0.134358967471,0.466889295622,0.393855907711
2024-01-16-12-06-33-25316,34,FEIrS9qvTL356G8YN4wmoA,2023-04,45.47924633214704,9.230696800507676,0.242820102054,0.738746905011,0.00512620891307
2024-01-16-12-06-33-25316,6,fr9vvVwYkP8g5MAR1t9ecA,2023-04,45.48026122978492,9.233806120065237,0.152679483414,0.482339051265,0.340812243032
2024-01-16-12-06-33-25316,8,fU4UUR8wXl9GvB8_gEFeRg,2022-08,45.48049523109273,9.234389731626866,0.50284920631,0.262575237646,0.220103769265
2024-01-16-12-06-33-25316,10,ImyMko3CTQezf3kcuJPBRg,2023-04,45.47963180727637,9.232257265009412,0.144035431091,0.466969753336,0.37476171106
2024-01-16-12-06-33-25316,11,jADr4snQVVFEdcDXiMlOJA,2023-04,45.47940239117101,9.231696549063994,0.427349341478,0.241322953622,0.293941142893
2024-01-16-12-06-33-25316,39,jJZqkYTMUtltoLXsy46KkQ,2023-04,45.47939651085615,9.230391622462326,0.465533757521,0.272894678262,0.242811940568
2024-01-16-12-06-33-25316,3,Kv7tpvyezVXLoyDBvokTeQ,2023-04,45.47974864024554,9.232540009336336,0.377430615312,0.297828179854,0.31109306808
2024-01-16-12-06-33-25316,17,lNNpNAOcdl5e5YFC2T4Uew,2023-04,45.47993563822163,9.233360454428198,0.173897099682,0.555623428033,0.25966052434
2024-01-16-12-06-33-25316,28,lW6TbT-AffckQ06gQTh1gw,2023-04,45.47926748182228,9.231692457470611,0.603818725335,0.223315904596,0.13585980114
2024-01-16-12-06-33-25316,33,p0emyauV6T14bOYfM6ayNA,2023-04,45.47925262198179,9.231362449184438,0.296937883322,0.64983247133,0.0265470656746
2024-01-16-12-06-33-25316,7,Py4pXlFV1k_ok5OVq6iDRQ,2023-04,45.48041205118589,9.234171828108904,0.490000158763,0.192098619304,0.29433306032
2024-01-16-12-06-33-25316,13,QJ9sVOuQLynWyvjq07Rw5A,2023-04,45.47943925535874,9.232154446547497,0.320307892036,0.570657196886,0.0801184204369
2024-01-16-12-06-33-25316,38,RZQxOaVm9X8J1ae0uXg3jw,2023-04,45.47924133032369,9.230161557785001,0.443376162055,0.498325711665,0.013509259304
2024-01-16-12-06-33-25316,18,SAA-Y30rTxZ4f5wIYZ3Etg,2023-04,45.48011552223414,9.23380197950372,0.280456854858,0.65731985009,0.0473333058246
2024-01-16-12-06-33-25316,15,T3fVAaO-JM_jIv0f5-b29w,2023-04,45.47967599350923,9.23272849543061,0.110580050685,0.826530045022,0.0534284492242
2024-01-16-12-06-33-25316,9,TB8s6ZHJ8ey44kNhfsH-4A,2023-04,45.47984240148316,9.232766854753715,0.268569508627,0.40791364531,0.297565469966
2024-01-16-12-06-33-25316,19,TjLaqOL1BYeARRvFuXhCPQ,2023-04,45.48017329076423,9.233941948146265,0.421798269295,0.514461789979,0.0432155629848
2024-01-16-12-06-33-25316,21,VJL8XEJA6k-0K2hZ4oiD8A,2023-04,45.48042274061028,9.234570001438946,0.209333082088,0.678074221922,0.0955040112181
2024-01-16-12-06-33-25316,14,WhXd5vCERSelBMiL3lX3Ww,2023-04,45.47948671164445,9.232267920393099,0.284766678317,0.601422990726,0.0911259281302
2024-01-16-12-06-33-25316,16,wW-DIlOYJJaqRqxxhgZ9Kg,2023-04,45.47983896014415,9.233123135670422,0.242701566411,0.539239064782,0.199286499957
2024-01-16-12-06-33-25316,40,y3553HXxUB91yz3AIYgWLA,2023-04,45.47939030587402,9.230138810642586,0.537175497873,0.307002548189,0.1307291238
2024-01-16-12-06-33-25316,42,zq9PQmRvWiBID5sDtRgKPw,2023-04,45.47998680804545,9.229993209470113,0.267106192911,0.619918968266,0.104852203184
2024-01-16-12-06-33-25316,4,_hjn5cDPsxvSDp2kOE3wqw,2023-04,45.48002689460389,9.23322481653861,0.146144793947,0.446294178749,0.404310360188
