jobid,id,panoid,date,lat,lon,svf,tvf,bvf
2024-01-16-09-10-06-134930,214,9JlQvbLSdyJFYS8r-_snCA,2023-04,45.47429749499397,9.230740932267611,0.510828653966,0.140143813772,0.324320678295
2024-01-16-09-10-06-134930,233,Wi7OD22aJ-Qbb-tMsog-yQ,2023-04,45.47429735494135,9.231545388257464,0.451642910253,0.0927775619409,0.444712643058
2024-01-16-09-10-06-134930,236,WyC3fk9pjiDD50-b7XVC_g,2023-04,45.47449029571101,9.234392410478842,0.707170952151,0.0745329717305,0.198808762445
2024-01-16-12-22-29-811186,52,cEpBUBJliR-oSZv4dciXXw,2023-04,45.47429721185699,9.232367647523123,0.585243934085,0.0384289840882,0.355818859935
2024-01-16-12-22-29-811186,69,FTgnWL6rbaSVzVKAPOnRWA,2023-04,45.47428602451179,9.234395725049033,0.730910599919,0.105757864551,0.145295377738
2024-01-16-12-22-29-811186,87,mQfc_ESP1lkB5yHz3tg_xQ,2023-04,45.47430495761256,9.23320422795968,0.640415147415,0.0614047611286,0.25549318136
2024-01-16-12-22-29-811186,83,QoSOUbzswbAA9PIOIR3P6w,2018-05,45.47448627225274,9.234005904695799,0.46316397129,0.0265042212695,0.486761308715
2024-01-16-12-22-29-811186,84,SOy8ovhJ9p_r-pm_HYBQrw,2023-04,45.4743112140142,9.234198152702065,0.664691056607,0.0869665119605,0.21614817841
2024-01-16-12-22-29-811186,88,u9es4oaLg-DxJc_ExxLCng,2023-04,45.47430192716361,9.232938326755882,0.607466818175,0.0984127546429,0.271692667164
2024-01-16-12-22-29-811186,92,vcCXYNtIAUKu1truvcaLag,2023-04,45.47430078581627,9.232805231398622,0.543653759022,0.0847535681745,0.356050626651
2024-01-16-12-22-29-811186,54,zJ7P5HydcxQ4gzyhbRBhog,2023-04,45.47430725522024,9.233745752950234,0.65125583078,0.0385782043457,0.282486630873
2024-01-24-14-45-41-390383,136,1QrYvdBlEsbvL4FEK3rUBA,2023-04,45.47425970530097,9.232381517079666,0.558910883152,0.0297131608834,0.392527832961
2024-01-24-14-45-41-390383,138,2q0FjViVup-eYDOKK0ddvQ,2023-04,45.47429877583459,9.232564216234907,0.540080985782,0.0675320981609,0.375775115349
2024-01-24-14-45-41-390383,172,3QN_LCnNM8JTubtlAkWrVw,2023-04,45.47429743207762,9.23113951382893,0.444101604819,0.0635203245087,0.467561479393
2024-01-24-14-45-41-390383,169,5oXeLdz5D3QT4ojpxWs--A,2023-04,45.47429736814891,9.231677223871724,0.449741144112,0.139735614613,0.379086392914
