jobid,id,panoid,date,lat,lon,svf,tvf,bvf
2024-01-16-09-10-06-134930,234,EFw6wumhjW4Amd1dLKOm2w,2023-04,45.47349899213322,9.233397347665825,0.359357832403,0.124870333342,0.503102606496
2024-01-16-09-10-06-134930,221,F4hgaeIsvWeTNSD4uP3MLg,2023-04,45.47267276093232,9.230877502068152,0.287229789154,0.0538277776641,0.653034034817
2024-01-16-09-10-06-134930,239,QVcXhGLvXNb4NpHPRDQOVg,2023-04,45.47267858842959,9.23339913215105,0.31709541241,0.00391343972649,0.67308831958
2024-01-16-09-10-06-134930,232,RmgGvhUHPiLfQLLg_kaB0A,2023-04,45.47348597863291,9.231372608759688,0.322182512121,0.192796784683,0.478590497972
2024-01-16-09-10-06-134930,231,WkkIStbitoFZvS0tmupidw,2023-04,45.47342038835254,9.23234658228576,0.458761208909,0.12980074394,0.3881928626
2024-01-16-09-10-06-134930,230,yoUWh2mHoqrAjG2lJu8q9A,2023-04,45.47267204863775,9.232444317797167,0.482020548216,0.0113732409818,0.496884106616
2024-01-16-12-15-16-407914,8,41z0CcwbdcBH5UPL7SV55g,2023-04,45.47267189637402,9.232074317222425,0.36209268004,0.00550711416107,0.62147438988
2024-01-16-12-15-16-407914,9,AYiobfZdh8ZGx5QNX4_Ezw,2023-04,45.47267236631847,9.231411251308362,0.315606975468,0.0143141786391,0.665183142665
2024-01-16-12-15-16-407914,7,S6_4avq4IhW1owHZR4B7NA,2023-04,45.47268212426148,9.233920932343835,0.332137108073,0.00661580686483,0.649285363689
2024-01-16-12-22-29-811186,51,fob5q-rb1kdQna4MkXjnSA,2023-04,45.47390459967263,9.232378945146298,0.307068330252,0.00164022950281,0.683599076973
2024-01-24-14-45-41-390383,117,-pCWuJok6VK4HBo_kQs80g,2023-04,45.47348515597427,9.232037354369766,0.325926719253,0.396437247323,0.272241015172
2024-01-24-14-45-41-390383,135,-wLqXOHoe2j0LkBd7uy55Q,2023-04,45.47408826955289,9.232380307568596,0.339615283185,0.00405574833488,0.645480398039
2024-01-24-14-45-41-390383,73,0IaaLNf8YFkZL8mDoL1dpg,2023-04,45.47267502782825,9.232873148688949,0.32968582627,0.0101456859246,0.655931393328
2024-01-24-14-45-41-390383,104,2i-AytlFiQGga39go5H-Gw,2022-06,45.47341812282306,9.232385163384187,0.439434925092,0.175127601741,0.37509238883
2024-01-24-14-45-41-390383,106,2ij2gvhPXiv4xLse8cH_xw,2023-04,45.47328626592709,9.232377606959256,0.390489203598,0.0313516180485,0.567694490619
2024-01-24-14-45-41-390383,124,2MGTsLmk2NKUeAeCOH3ARw,2023-04,45.47348580849304,9.23150402536447,0.355137402857,0.144681039922,0.493898609874
2024-01-24-14-45-41-390383,103,2QdkTXtCEOaD7dG28-wEEQ,2019-06,45.47345832339698,9.232502221563117,0.296903766051,0.375186876476,0.318189956626
2024-01-24-14-45-41-390383,72,2tMvkApNSi_wapRRvwru7w,2023-04,45.47267406114591,9.232731666112677,0.328703193876,0.0036864828732,0.658081522053
2024-01-24-14-45-41-390383,107,4UlvgUitvsN3wqEvgKbBQw,2023-04,45.47319124905737,9.232379537662181,0.358998411405,0.0125377985975,0.612813297049
2024-01-24-14-45-41-390383,75,5kSEXCPfb6yKIrZwb6Np5w,2023-04,45.47267771644896,9.233268975968596,0.330060745646,0.00479280228712,0.660693758919
2024-01-24-14-45-41-390383,94,6gVtkja3uv1wUHoxLr-ltw,2023-04,45.47350052128444,9.233531901956974,0.355671967043,0.145176165048,0.476822340765
2024-01-24-14-45-41-390383,112,7NdAfF0GDXAa2eZeyXZvBA,2023-04,45.47271508043747,9.232389193027553,0.493363333104,0.0258106565594,0.46837716403
2024-01-24-14-45-41-390383,71,8tTtv9Cgm-POCI3IfI3AXw,2023-04,45.47267300780936,9.232581438425262,0.435599871263,0.0155726514361,0.543889519305
2024-01-24-14-45-41-390383,99,a6RNsnxX5AY7SGZV7XjTeg,2023-04,45.47349509483956,9.233063652527845,0.468145805396,0.161742423178,0.361034635345
2024-01-24-14-45-41-390383,98,A91tVtinljXfKV4b6hZm4A,2023-04,45.47349356573811,9.23293265777154,0.434780294324,0.193948737496,0.360804036548
2024-01-24-14-45-41-390383,160,aYDdv4pZARbKvJqjvey74w,2023-04,45.47350209922399,9.233664070660499,0.407616893003,0.12918558456,0.449126121307
2024-01-24-14-45-41-390383,133,BZcztSUEr4mUmlpZnm4MkA,2023-04,45.47399092782057,9.232379615062285,0.30983252307,0.00110616193561,0.67209899704
2024-01-24-14-45-41-390383,115,cD1cbobLH1UMvX4Bdc5Zjg,2019-06,45.47352057470417,9.232492395210405,0.479778369855,0.169362220938,0.340255024988
2024-01-24-14-45-41-390383,122,DbI7VVomyEqPPHcqtvkvIA,2023-04,45.47348638823094,9.23110624104175,0.352384093606,0.126536220516,0.511759077001
2024-01-24-14-45-41-390383,64,diFpWvk3RrNhWrPlc421EA,2023-04,45.47267247899687,9.231276083493972,0.313345435856,0.0203882659285,0.654513810604
2024-01-24-14-45-41-390383,65,eX8buIn8Ch9UOssSiuuUzg,2023-04,45.47267233128314,9.231547245286821,0.321561299278,0.0159772497471,0.652914190014
2024-01-24-14-45-41-390383,111,eXsOZG7_rY53CGL0PW2Wog,2023-04,45.47280682771419,9.232387356127816,0.412183341134,0.070323900528,0.504260182326
2024-01-24-14-45-41-390383,76,ftbMvXRsba4ogo1blgE_uQ,2023-04,45.47267948153554,9.233529918229388,0.323815668183,0.00123573533968,0.663766710579
2024-01-24-14-45-41-390383,126,gkuhR_JIC3AZiNZ5aVkqrw,2023-04,45.4734854610111,9.231768725285928,0.348610078372,0.334078830299,0.311074190635
2024-01-24-14-45-41-390383,128,GoU-uHBBobGtXiN_YUOmqw,2023-04,45.47350586458625,9.232611882001644,0.437445299439,0.217130201587,0.321201449555
2024-01-24-14-45-41-390383,61,gxJ0eaxuwCRx9ysgV6iFBQ,2023-04,45.47267285271954,9.230747043217383,0.266460291638,0.108611793947,0.61009882692
2024-01-24-14-45-41-390383,69,H1DWMvDHGtAGbgBjoWcLgQ,2023-04,45.47267182628921,9.232216083484136,0.427997357418,0.0209264707126,0.544046898567
2024-01-24-14-45-41-390383,74,H9NDmpIIxbshQKICjXjr-A,2022-07,45.47267609000275,9.233034855125817,0.364128130844,0.0422013985503,0.570854748927
2024-01-24-14-45-41-390383,131,hcuS8irwC1mWLB2hYG2iHA,2023-04,45.4738142828808,9.232378312648184,0.311462821182,0.020228773104,0.658870840575
2024-01-24-14-45-41-390383,102,i8gVEiqh55vSKnnZ2ru4Nw,2020-09,45.47347362901117,9.232609050964944,0.412846692118,0.289424734439,0.27168726215
2024-01-24-14-45-41-390383,79,imHKhY3eSVG-7uSB9yG7KQ,2023-04,45.47268300242189,9.23405100331873,0.368540463815,0.0104487424095,0.614331481706
2024-01-24-14-45-41-390383,127,JctgbVZGd4UPv8mEvHB5Sw,2023-04,45.47348527771496,9.231907432834964,0.322685676044,0.385433589306,0.286557393406
2024-01-24-14-45-41-390383,130,jGJoCLSw3YxCSXMmpZ8Nxw,2023-04,45.47372143178103,9.232377656682193,0.32836002661,0.0177215422798,0.639426250275
2024-01-24-14-45-41-390383,70,JKanSrYZ8Sb7EaXABoKe9Q,2023-04,45.47267173701429,9.232368785019588,0.489406256418,0.0143117954468,0.485751474961
2024-01-24-14-45-41-390383,95,KLj3cGkOGda4SdAd3j8aUQ,2018-08,45.47349775097755,9.233293132402874,0.363417621865,0.275864826628,0.354964147755
